Data;Id;Nome;Nivel;Id Alimento;Descricao;NP;GA;Kcal;Hidra;PA;Glic;In Natura;Processado;Ultraprocessados;Total;Pontuacao;Tempo
18-10-2017 17:35:04;0;Salvador;1;----;Garrafa de agua;----;----;82.57;60.59;-100.00;-92.98;3;1;8;12;133;231.96
18-10-2017 17:35:05;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;49.93;-100.00;-73.64;3;1;9;13;133;231.78
18-10-2017 17:35:06;0;Salvador;1;22;Batata, baroa, crua;0;----;95.64;55.57;-100.00;-87.99;4;1;9;14;143;230.34
18-10-2017 17:35:18;0;Salvador;1;21;Almeirao, refogado;1;----;100.00;28.28;-100.00;-90.00;4;2;9;15;146;218.34
18-10-2017 17:35:18;0;Salvador;1;21;Almeirao, refogado;1;----;100.00;18.05;-100.00;-80.23;4;3;9;16;149;217.96
18-10-2017 17:35:22;0;Salvador;1;21;Almeirao, refogado;1;----;100.00;-3.58;-100.00;-81.86;4;4;9;17;152;214.41
18-10-2017 17:35:23;0;Salvador;1;20;Alho, cru;0;----;99.61;6.03;-100.00;-92.25;5;4;9;18;162;213.76
18-10-2017 17:35:29;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-12.38;-100.00;-80.00;5;4;10;19;162;207.41
18-10-2017 17:35:31;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-28.98;-100.00;-66.61;5;4;11;20;162;205.39
18-10-2017 17:35:31;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-39.21;-100.00;-46.84;5;4;12;21;162;205.01
18-10-2017 17:35:34;0;Salvador;1;----;Garrafa de agua;----;----;82.39;-6.83;-100.00;-74.45;5;4;12;21;162;202.24
18-10-2017 17:35:35;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-20.07;-100.00;-57.69;5;4;13;22;162;201.34
18-10-2017 17:35:35;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-30.43;-100.00;-38.05;5;4;14;23;162;201.24
18-10-2017 17:35:38;0;Salvador;1;32;Cenoura, cozida;1;----;100.00;-47.73;-100.00;-35.36;5;5;14;24;165;198.64
18-10-2017 17:35:39;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-62.96;-100.00;-20.58;5;5;15;25;165;197.10
18-10-2017 17:35:41;0;Salvador;1;22;Batata, baroa, crua;0;----;94.74;-58.22;-100.00;-35.84;6;5;15;26;175;195.34
18-10-2017 17:35:42;0;Salvador;1;----;Garrafa de agua;----;----;82.41;-20.55;-100.00;-58.17;6;5;15;26;175;194.37
18-10-2017 17:35:44;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-36.28;-100.00;-43.91;6;5;16;27;175;192.31
18-10-2017 17:35:45;0;Salvador;1;21;Almeirao, refogado;1;----;100.00;-50.59;-100.00;-38.21;6;6;16;28;178;190.80
18-10-2017 17:35:47;0;Salvador;1;46;Tomate, molho industrializado;2;----;100.00;-61.61;-100.00;-19.23;6;6;17;29;178;189.43
18-10-2017 17:35:48;0;Salvador;1;25;Batata, inglesa, cozida;1;----;100.00;-72.29;-100.00;-9.91;6;7;17;30;181;188.30
18-10-2017 17:35:50;0;Salvador;1;23;Batata, frita, tipo chips, industrializada;2;----;100.00;-89.55;-100.00;2.83;6;7;18;31;181;186.03
18-10-2017 17:35:51;0;Salvador;1;32;Cenoura, cozida;1;----;100.00;-100.00;-100.00;9.60;6;8;18;32;184;184.81
18-10-2017 17:35:54;0;Salvador;1;26;Biscoito, polvilho doce;2;----;100.00;-100.00;-100.00;22.77;6;8;19;33;184;182.18
